key,locale,text,context,variables,review_state,source_content_ids,release_marked
loc:later_han/district/a003/name,en-US,Henan,Later Han district name; 河南尹; audited source cell A3,,approved,district:later_han/a003,true
loc:later_han/district/b003/name,en-US,Henei,Later Han district name; 河內郡; audited source cell B3,,approved,district:later_han/b003,true
loc:later_han/district/c003/name,en-US,Hedong,Later Han district name; 河東郡; audited source cell C3,,approved,district:later_han/c003,true
loc:later_han/district/d003/name,en-US,Hongnong,Later Han district name; 弘農郡; audited source cell D3,,approved,district:later_han/d003,true
loc:later_han/district/e003/name,en-US,Jingzhao,Later Han district name; 京兆尹; audited source cell E3,,approved,district:later_han/e003,true
loc:later_han/district/f003/name,en-US,Zuofengyi,Later Han district name; 左馮翊; audited source cell F3,,approved,district:later_han/f003,true
loc:later_han/district/g003/name,en-US,Youfufeng,Later Han district name; 右扶風; audited source cell G3,,approved,district:later_han/g003,true
loc:later_han/district/h003/name,en-US,Yingchuan,Later Han district name; 潁川郡; audited source cell H3,,approved,district:later_han/h003,true
loc:later_han/district/i003/name,en-US,Runan,Later Han district name; 汝南郡; audited source cell I3,,approved,district:later_han/i003,true
loc:later_han/district/j003/name,en-US,Liang,Later Han district name; 梁國; audited source cell J3,,approved,district:later_han/j003,true
loc:later_han/district/k003/name,en-US,Pei,Later Han district name; 沛國; audited source cell K3,,approved,district:later_han/k003,true
loc:later_han/district/l003/name,en-US,Chen,Later Han district name; 陳國; audited source cell L3,,approved,district:later_han/l003,true
loc:later_han/district/m003/name,en-US,Lu,Later Han district name; 魯國; audited source cell M3,,approved,district:later_han/m003,true
loc:later_han/district/n003/name,en-US,Wei,Later Han district name; 魏郡; audited source cell N3,,approved,district:later_han/n003,true
loc:later_han/district/o003/name,en-US,Julu,Later Han district name; 鉅鹿郡; audited source cell O3,,approved,district:later_han/o003,true
loc:later_han/district/p003/name,en-US,Changshan,Later Han district name; 常山國; audited source cell P3,,approved,district:later_han/p003,true
loc:later_han/district/q003/name,en-US,Zhongshan,Later Han district name; 中山國; audited source cell Q3,,approved,district:later_han/q003,true
loc:later_han/district/r003/name,en-US,Anping,Later Han district name; 安平國; audited source cell R3,,approved,district:later_han/r003,true
loc:later_han/district/s003/name,en-US,Hexian,Later Han district name; 河閒國; audited source cell S3,,approved,district:later_han/s003,true
loc:later_han/district/t003/name,en-US,Qinghe,Later Han district name; 清河國; audited source cell T3,,approved,district:later_han/t003,true
loc:later_han/district/u003/name,en-US,Zhao,Later Han district name; 趙國; audited source cell U3,,approved,district:later_han/u003,true
loc:later_han/district/v003/name,en-US,Bohai,Later Han district name; 勃海郡; audited source cell V3,,approved,district:later_han/v003,true
loc:later_han/district/w003/name,en-US,Chenliu,Later Han district name; 陳留郡; audited source cell W3,,approved,district:later_han/w003,true
loc:later_han/district/x003/name,en-US,Dong,Later Han district name; 東郡; audited source cell X3,,approved,district:later_han/x003,true
loc:later_han/district/y003/name,en-US,Dongping,Later Han district name; 東平國; audited source cell Y3,,approved,district:later_han/y003,true
loc:later_han/district/z003/name,en-US,Rencheng,Later Han district name; 任城國; audited source cell Z3,,approved,district:later_han/z003,true
loc:later_han/district/aa003/name,en-US,Taishan,Later Han district name; 泰山郡; audited source cell AA3,,approved,district:later_han/aa003,true
loc:later_han/district/ab003/name,en-US,Jibei,Later Han district name; 濟北國; audited source cell AB3,,approved,district:later_han/ab003,true
loc:later_han/district/ac003/name,en-US,Shanyang,Later Han district name; 山陽郡; audited source cell AC3,,approved,district:later_han/ac003,true
loc:later_han/district/ad003/name,en-US,Jiyin,Later Han district name; 濟陰郡; audited source cell AD3,,approved,district:later_han/ad003,true
loc:later_han/district/ae003/name,en-US,Donghai,Later Han district name; 東海郡; audited source cell AE3,,approved,district:later_han/ae003,true
loc:later_han/district/af003/name,en-US,Langxie,Later Han district name; 琅邪國; audited source cell AF3,,approved,district:later_han/af003,true
loc:later_han/district/ag003/name,en-US,Pengcheng,Later Han district name; 彭城國; audited source cell AG3,,approved,district:later_han/ag003,true
loc:later_han/district/ah003/name,en-US,Guangling,Later Han district name; 廣陵郡; audited source cell AH3,,approved,district:later_han/ah003,true
loc:later_han/district/ai003/name,en-US,Xiapi,Later Han district name; 下邳國; audited source cell AI3,,approved,district:later_han/ai003,true
loc:later_han/district/aj003/name,en-US,Jinan,Later Han district name; 濟南國; audited source cell AJ3,,approved,district:later_han/aj003,true
loc:later_han/district/ak003/name,en-US,Pingyuan,Later Han district name; 平原郡; audited source cell AK3,,approved,district:later_han/ak003,true
loc:later_han/district/al003/name,en-US,Lean,Later Han district name; 樂安國; audited source cell AL3,,approved,district:later_han/al003,true
loc:later_han/district/am003/name,en-US,Beihai,Later Han district name; 北海國; audited source cell AM3,,approved,district:later_han/am003,true
loc:later_han/district/an003/name,en-US,Donglai,Later Han district name; 東萊郡; audited source cell AN3,,approved,district:later_han/an003,true
loc:later_han/district/ao003/name,en-US,Qi,Later Han district name; 齊國; audited source cell AO3,,approved,district:later_han/ao003,true
loc:later_han/district/ap003/name,en-US,Nanyang,Later Han district name; 南陽郡; audited source cell AP3,,approved,district:later_han/ap003,true
loc:later_han/district/aq003/name,en-US,Nan,Later Han district name; 南郡; audited source cell AQ3,,approved,district:later_han/aq003,true
loc:later_han/district/ar003/name,en-US,Jiangxia,Later Han district name; 江夏郡; audited source cell AR3,,approved,district:later_han/ar003,true
loc:later_han/district/as003/name,en-US,Lingling,Later Han district name; 零陵郡; audited source cell AS3,,approved,district:later_han/as003,true
loc:later_han/district/at003/name,en-US,Guiyang,Later Han district name; 桂陽郡; audited source cell AT3,,approved,district:later_han/at003,true
loc:later_han/district/au003/name,en-US,Wuling,Later Han district name; 武陵郡; audited source cell AU3,,approved,district:later_han/au003,true
loc:later_han/district/av003/name,en-US,Zhangsha,Later Han district name; 長沙郡; audited source cell AV3,,approved,district:later_han/av003,true
loc:later_han/district/aw003/name,en-US,Jiujiang,Later Han district name; 九江郡; audited source cell AW3,,approved,district:later_han/aw003,true
loc:later_han/district/ax003/name,en-US,Danyang,Later Han district name; 丹陽郡; audited source cell AX3,,approved,district:later_han/ax003,true
loc:later_han/district/ay003/name,en-US,Lujiang,Later Han district name; 廬江郡; audited source cell AY3,,approved,district:later_han/ay003,true
loc:later_han/district/az003/name,en-US,Huiji,Later Han district name; 會稽郡; audited source cell AZ3,,approved,district:later_han/az003,true
loc:later_han/district/ba003/name,en-US,Wu,Later Han district name; 吳郡; audited source cell BA3,,approved,district:later_han/ba003,true
loc:later_han/district/bb003/name,en-US,Yuzhang,Later Han district name; 豫章郡; audited source cell BB3,,approved,district:later_han/bb003,true
loc:later_han/district/bc003/name,en-US,Hanzhong,Later Han district name; 漢中郡; audited source cell BC3,,approved,district:later_han/bc003,true
loc:later_han/district/bd003/name,en-US,Ba,Later Han district name; 巴郡; audited source cell BD3,,approved,district:later_han/bd003,true
loc:later_han/district/be003/name,en-US,Guanghan,Later Han district name; 廣漢郡; audited source cell BE3,,approved,district:later_han/be003,true
loc:later_han/district/bf003/name,en-US,Shu,Later Han district name; 蜀郡; audited source cell BF3,,approved,district:later_han/bf003,true
loc:later_han/district/bg003/name,en-US,Jianwei,Later Han district name; 犍為郡; audited source cell BG3,,approved,district:later_han/bg003,true
loc:later_han/district/bh003/name,en-US,Zangke,Later Han district name; 牂牁郡; audited source cell BH3,,approved,district:later_han/bh003,true
loc:later_han/district/bi003/name,en-US,Yuegui,Later Han district name; 越巂郡; audited source cell BI3,,approved,district:later_han/bi003,true
loc:later_han/district/bj003/name,en-US,Yizhou,Later Han district name; 益州郡; audited source cell BJ3,,approved,district:later_han/bj003,true
loc:later_han/district/bk003/name,en-US,Yongchang,Later Han district name; 永昌郡; audited source cell BK3,,approved,district:later_han/bk003,true
loc:later_han/district/bo003/name,en-US,Longxi,Later Han district name; 隴西郡; audited source cell BO3,,approved,district:later_han/bo003,true
loc:later_han/district/bp003/name,en-US,Hanyang,Later Han district name; 漢陽郡; audited source cell BP3,,approved,district:later_han/bp003,true
loc:later_han/district/bq003/name,en-US,Wudou,Later Han district name; 武都郡; audited source cell BQ3,,approved,district:later_han/bq003,true
loc:later_han/district/br003/name,en-US,Jincheng,Later Han district name; 金城郡; audited source cell BR3,,approved,district:later_han/br003,true
loc:later_han/district/bs003/name,en-US,Anding,Later Han district name; 安定郡; audited source cell BS3,,approved,district:later_han/bs003,true
loc:later_han/district/bt003/name,en-US,Beide,Later Han district name; 北地郡; audited source cell BT3,,approved,district:later_han/bt003,true
loc:later_han/district/bu003/name,en-US,Wuwei,Later Han district name; 武威郡; audited source cell BU3,,approved,district:later_han/bu003,true
loc:later_han/district/bv003/name,en-US,Zhangye,Later Han district name; 張掖郡; audited source cell BV3,,approved,district:later_han/bv003,true
loc:later_han/district/bw003/name,en-US,Jiuquan,Later Han district name; 酒泉郡; audited source cell BW3,,approved,district:later_han/bw003,true
loc:later_han/district/bx003/name,en-US,Dunhuang,Later Han district name; 敦煌郡; audited source cell BX3,,approved,district:later_han/bx003,true
loc:later_han/district/ca003/name,en-US,Shangdang,Later Han district name; 上黨郡; audited source cell CA3,,approved,district:later_han/ca003,true
loc:later_han/district/cb003/name,en-US,Taiyuan,Later Han district name; 太原郡; audited source cell CB3,,approved,district:later_han/cb003,true
loc:later_han/district/cc003/name,en-US,Shang,Later Han district name; 上郡; audited source cell CC3,,approved,district:later_han/cc003,true
loc:later_han/district/cd003/name,en-US,Xihe,Later Han district name; 西河郡; audited source cell CD3,,approved,district:later_han/cd003,true
loc:later_han/district/ce003/name,en-US,Wuyuan,Later Han district name; 五原郡; audited source cell CE3,,approved,district:later_han/ce003,true
loc:later_han/district/cf003/name,en-US,Yunzhong,Later Han district name; 雲中郡; audited source cell CF3,,approved,district:later_han/cf003,true
loc:later_han/district/cg003/name,en-US,Dingxiang,Later Han district name; 定襄郡; audited source cell CG3,,approved,district:later_han/cg003,true
loc:later_han/district/ch003/name,en-US,Yanmen,Later Han district name; 鴈門郡; audited source cell CH3,,approved,district:later_han/ch003,true
loc:later_han/district/ci003/name,en-US,Shuofang,Later Han district name; 朔方郡; audited source cell CI3,,approved,district:later_han/ci003,true
loc:later_han/district/cj003/name,en-US,Zhuo,Later Han district name; 涿郡; audited source cell CJ3,,approved,district:later_han/cj003,true
loc:later_han/district/ck003/name,en-US,Guangyang,Later Han district name; 廣陽郡; audited source cell CK3,,approved,district:later_han/ck003,true
loc:later_han/district/cl003/name,en-US,Dai,Later Han district name; 代郡; audited source cell CL3,,approved,district:later_han/cl003,true
loc:later_han/district/cm003/name,en-US,Shanggu,Later Han district name; 上谷郡; audited source cell CM3,,approved,district:later_han/cm003,true
loc:later_han/district/cn003/name,en-US,Yuyang,Later Han district name; 漁陽郡; audited source cell CN3,,approved,district:later_han/cn003,true
loc:later_han/district/co003/name,en-US,Youbeiping,Later Han district name; 右北平郡; audited source cell CO3,,approved,district:later_han/co003,true
loc:later_han/district/cp003/name,en-US,Liaoxi,Later Han district name; 遼西郡; audited source cell CP3,,approved,district:later_han/cp003,true
loc:later_han/district/cq003/name,en-US,Liaodong,Later Han district name; 遼東郡; audited source cell CQ3,,approved,district:later_han/cq003,true
loc:later_han/district/cr003/name,en-US,Xuantu,Later Han district name; 玄菟郡; audited source cell CR3,,approved,district:later_han/cr003,true
loc:later_han/district/cs003/name,en-US,Lelang,Later Han district name; 樂浪郡; audited source cell CS3,,approved,district:later_han/cs003,true
loc:later_han/district/cu003/name,en-US,Nanhai,Later Han district name; 南海郡; audited source cell CU3,,approved,district:later_han/cu003,true
loc:later_han/district/cv003/name,en-US,Cangwu,Later Han district name; 蒼梧郡; audited source cell CV3,,approved,district:later_han/cv003,true
loc:later_han/district/cw003/name,en-US,Yulin,Later Han district name; 鬱林郡; audited source cell CW3,,approved,district:later_han/cw003,true
loc:later_han/district/cx003/name,en-US,Hepu,Later Han district name; 合浦郡; audited source cell CX3,,approved,district:later_han/cx003,true
loc:later_han/district/cy003/name,en-US,Jiaozhi,Later Han district name; 交趾郡; audited source cell CY3,,approved,district:later_han/cy003,true
loc:later_han/district/cz003/name,en-US,Jiuzhen,Later Han district name; 九真郡; audited source cell CZ3,,approved,district:later_han/cz003,true
loc:later_han/district/da003/name,en-US,Rinan,Later Han district name; 日南郡; audited source cell DA3,,approved,district:later_han/da003,true
loc:later_han/locality/a004/name,en-US,Luoyang,Later Han locality name; 雒陽縣; audited source cell A4,,approved,locality:later_han/a004,true
loc:later_han/locality/a005/name,en-US,Henan,Later Han locality name; 河南縣; audited source cell A5,,approved,locality:later_han/a005,true
loc:later_han/locality/a006/name,en-US,Liang,Later Han locality name; 梁縣; audited source cell A6,,approved,locality:later_han/a006,true
loc:later_han/locality/a007/name,en-US,Xingyang,Later Han locality name; 熒陽縣; audited source cell A7,,approved,locality:later_han/a007,true
loc:later_han/locality/a008/name,en-US,Juan,Later Han locality name; 卷縣; audited source cell A8,,approved,locality:later_han/a008,true
loc:later_han/locality/a009/name,en-US,Yuanwu,Later Han locality name; 原武縣; audited source cell A9,,approved,locality:later_han/a009,true
loc:later_han/locality/a010/name,en-US,Yangwu,Later Han locality name; 陽武縣; audited source cell A10,,approved,locality:later_han/a010,true
loc:later_han/locality/a011/name,en-US,Zhongmou,Later Han locality name; 中牟縣; audited source cell A11,,approved,locality:later_han/a011,true
loc:later_han/locality/a012/name,en-US,Kaifeng,Later Han locality name; 開封縣; audited source cell A12,,approved,locality:later_han/a012,true
loc:later_han/locality/a013/name,en-US,Wanling,Later Han locality name; 菀陵縣; audited source cell A13,,approved,locality:later_han/a013,true
loc:later_han/locality/a014/name,en-US,Pingyin,Later Han locality name; 平陰縣; audited source cell A14,,approved,locality:later_han/a014,true
loc:later_han/locality/a015/name,en-US,Gucheng,Later Han locality name; 穀城縣; audited source cell A15,,approved,locality:later_han/a015,true
loc:later_han/locality/a016/name,en-US,Goushi,Later Han locality name; 緱氏縣; audited source cell A16,,approved,locality:later_han/a016,true
loc:later_han/locality/a017/name,en-US,Gong,Later Han locality name; 鞏縣; audited source cell A17,,approved,locality:later_han/a017,true
loc:later_han/locality/a018/name,en-US,Chengyi,Later Han locality name; 成睪縣; audited source cell A18,,approved,locality:later_han/a018,true
loc:later_han/locality/a019/name,en-US,Jing,Later Han locality name; 京縣; audited source cell A19,,approved,locality:later_han/a019,true
loc:later_han/locality/a020/name,en-US,Mi,Later Han locality name; 密縣; audited source cell A20,,approved,locality:later_han/a020,true
loc:later_han/locality/a021/name,en-US,Xincheng,Later Han locality name; 新城縣; audited source cell A21,,approved,locality:later_han/a021,true
loc:later_han/locality/a022/name,en-US,Yanshi,Later Han locality name; 匽師縣; audited source cell A22,,approved,locality:later_han/a022,true
loc:later_han/locality/a023/name,en-US,Xinzheng,Later Han locality name; 新鄭縣; audited source cell A23,,approved,locality:later_han/a023,true
loc:later_han/locality/a024/name,en-US,Ping,Later Han locality name; 平縣; audited source cell A24,,approved,locality:later_han/a024,true
loc:later_han/locality/b004/name,en-US,Huai,Later Han locality name; 懷縣; audited source cell B4,,approved,locality:later_han/b004,true
loc:later_han/locality/b005/name,en-US,Heyang,Later Han locality name; 河陽縣; audited source cell B5,,approved,locality:later_han/b005,true
loc:later_han/locality/b006/name,en-US,Zhi,Later Han locality name; 軹縣; audited source cell B6,,approved,locality:later_han/b006,true
loc:later_han/locality/b007/name,en-US,Bo,Later Han locality name; 波縣; audited source cell B7,,approved,locality:later_han/b007,true
loc:later_han/locality/b008/name,en-US,Qinshui,Later Han locality name; 沁水縣; audited source cell B8,,approved,locality:later_han/b008,true
loc:later_han/locality/b009/name,en-US,Yewang,Later Han locality name; 野王縣; audited source cell B9,,approved,locality:later_han/b009,true
loc:later_han/locality/b010/name,en-US,Wen,Later Han locality name; 溫縣; audited source cell B10,,approved,locality:later_han/b010,true
loc:later_han/locality/b011/name,en-US,Zhou,Later Han locality name; 州縣; audited source cell B11,,approved,locality:later_han/b011,true
loc:later_han/locality/b012/name,en-US,Pinggao,Later Han locality name; 平皋縣; audited source cell B12,,approved,locality:later_han/b012,true
loc:later_han/locality/b013/name,en-US,Shanyang,Later Han locality name; 山陽邑; audited source cell B13,,approved,locality:later_han/b013,true
loc:later_han/locality/b014/name,en-US,Wude,Later Han locality name; 武德縣; audited source cell B14,,approved,locality:later_han/b014,true
loc:later_han/locality/b015/name,en-US,Huojia,Later Han locality name; 獲嘉侯國; audited source cell B15,,approved,locality:later_han/b015,true
loc:later_han/locality/b016/name,en-US,Xiuwu,Later Han locality name; 脩武縣; audited source cell B16,,approved,locality:later_han/b016,true
loc:later_han/locality/b017/name,en-US,Gong,Later Han locality name; 共縣; audited source cell B17,,approved,locality:later_han/b017,true
loc:later_han/locality/b018/name,en-US,Ji,Later Han locality name; 汲縣; audited source cell B18,,approved,locality:later_han/b018,true
loc:later_han/locality/b019/name,en-US,Chaoge,Later Han locality name; 朝歌縣; audited source cell B19,,approved,locality:later_han/b019,true
loc:later_han/locality/b020/name,en-US,Dangyin,Later Han locality name; 蕩陰縣; audited source cell B20,,approved,locality:later_han/b020,true
loc:later_han/locality/b021/name,en-US,Linlu,Later Han locality name; 林慮縣; audited source cell B21,,approved,locality:later_han/b021,true
loc:later_han/locality/c004/name,en-US,An,Later Han locality name; 安邑; audited source cell C4,,approved,locality:later_han/c004,true
loc:later_han/locality/c005/name,en-US,Yang,Later Han locality name; 楊縣; audited source cell C5,,approved,locality:later_han/c005,true
loc:later_han/locality/c006/name,en-US,Pingyang,Later Han locality name; 平陽侯國; audited source cell C6,,approved,locality:later_han/c006,true
loc:later_han/locality/c007/name,en-US,Linfen,Later Han locality name; 臨汾縣; audited source cell C7,,approved,locality:later_han/c007,true
loc:later_han/locality/c008/name,en-US,Fenyin,Later Han locality name; 汾陰縣; audited source cell C8,,approved,locality:later_han/c008,true
loc:later_han/locality/c009/name,en-US,Puban,Later Han locality name; 蒲阪縣; audited source cell C9,,approved,locality:later_han/c009,true
loc:later_han/locality/c010/name,en-US,Dayang,Later Han locality name; 大陽縣; audited source cell C10,,approved,locality:later_han/c010,true
loc:later_han/locality/c011/name,en-US,Jie,Later Han locality name; 解縣; audited source cell C11,,approved,locality:later_han/c011,true
loc:later_han/locality/c012/name,en-US,Pishi,Later Han locality name; 皮氏縣; audited source cell C12,,approved,locality:later_han/c012,true
loc:later_han/locality/c013/name,en-US,Wenxi,Later Han locality name; 聞喜邑; audited source cell C13,,approved,locality:later_han/c013,true
loc:later_han/locality/c014/name,en-US,Jiang,Later Han locality name; 絳邑; audited source cell C14,,approved,locality:later_han/c014,true
loc:later_han/locality/c015/name,en-US,Yongan,Later Han locality name; 永安縣; audited source cell C15,,approved,locality:later_han/c015,true
loc:later_han/locality/c016/name,en-US,Hebei,Later Han locality name; 河北縣; audited source cell C16,,approved,locality:later_han/c016,true
loc:later_han/locality/c017/name,en-US,Yishi,Later Han locality name; 猗氏縣; audited source cell C17,,approved,locality:later_han/c017,true
loc:later_han/locality/c018/name,en-US,Yuan,Later Han locality name; 垣縣; audited source cell C18,,approved,locality:later_han/c018,true
loc:later_han/locality/c019/name,en-US,Xiangling,Later Han locality name; 襄陵縣; audited source cell C19,,approved,locality:later_han/c019,true
loc:later_han/locality/c020/name,en-US,Beiqu,Later Han locality name; 北屈縣; audited source cell C20,,approved,locality:later_han/c020,true
loc:later_han/locality/c021/name,en-US,Puzi,Later Han locality name; 蒲子縣; audited source cell C21,,approved,locality:later_han/c021,true
loc:later_han/locality/c022/name,en-US,Huoze,Later Han locality name; 濩澤侯國; audited source cell C22,,approved,locality:later_han/c022,false
loc:later_han/locality/c023/name,en-US,Duanshi,Later Han locality name; 端氏縣; audited source cell C23,,approved,locality:later_han/c023,true
loc:later_han/locality/d004/name,en-US,Hongnong,Later Han locality name; 弘農縣; audited source cell D4,,approved,locality:later_han/d004,true
loc:later_han/locality/d005/name,en-US,Shan,Later Han locality name; 陝縣; audited source cell D5,,approved,locality:later_han/d005,true
loc:later_han/locality/d006/name,en-US,Mianchi,Later Han locality name; 黽池縣; audited source cell D6,,approved,locality:later_han/d006,true
loc:later_han/locality/d007/name,en-US,Xinan,Later Han locality name; 新安縣; audited source cell D7,,approved,locality:later_han/d007,true
loc:later_han/locality/d008/name,en-US,Yiyang,Later Han locality name; 宜陽縣; audited source cell D8,,approved,locality:later_han/d008,true
loc:later_han/locality/d009/name,en-US,Luhun,Later Han locality name; 陸渾縣; audited source cell D9,,approved,locality:later_han/d009,true
loc:later_han/locality/d010/name,en-US,Lushi,Later Han locality name; 盧氏縣; audited source cell D10,,approved,locality:later_han/d010,true
loc:later_han/locality/d011/name,en-US,Hu,Later Han locality name; 湖縣; audited source cell D11,,approved,locality:later_han/d011,true
loc:later_han/locality/d012/name,en-US,Huayin,Later Han locality name; 華陰縣; audited source cell D12,,approved,locality:later_han/d012,true
loc:later_han/locality/e004/name,en-US,Zhangan,Later Han locality name; 長安縣; audited source cell E4,,approved,locality:later_han/e004,true
loc:later_han/locality/e005/name,en-US,Baling,Later Han locality name; 霸陵縣; audited source cell E5,,approved,locality:later_han/e005,true
loc:later_han/locality/e006/name,en-US,Duling,Later Han locality name; 杜陵縣; audited source cell E6,,approved,locality:later_han/e006,true
loc:later_han/locality/e007/name,en-US,Zheng,Later Han locality name; 鄭縣; audited source cell E7,,approved,locality:later_han/e007,true
loc:later_han/locality/e008/name,en-US,Xinfeng,Later Han locality name; 新豐縣; audited source cell E8,,approved,locality:later_han/e008,true
loc:later_han/locality/e009/name,en-US,Lantian,Later Han locality name; 藍田縣; audited source cell E9,,approved,locality:later_han/e009,true
loc:later_han/locality/e010/name,en-US,Zhangling,Later Han locality name; 長陵縣; audited source cell E10,,approved,locality:later_han/e010,true
loc:later_han/locality/e011/name,en-US,Shang,Later Han locality name; 商縣; audited source cell E11,,approved,locality:later_han/e011,true
loc:later_han/locality/e012/name,en-US,Shangluo,Later Han locality name; 上雒侯國; audited source cell E12,,approved,locality:later_han/e012,true
loc:later_han/locality/e013/name,en-US,Yangling,Later Han locality name; 陽陵縣; audited source cell E13,,approved,locality:later_han/e013,true
loc:later_han/locality/f004/name,en-US,Gaoling,Later Han locality name; 高陵縣; audited source cell F4,,approved,locality:later_han/f004,true
loc:later_han/locality/f005/name,en-US,Chiyang,Later Han locality name; 池陽縣; audited source cell F5,,approved,locality:later_han/f005,true
loc:later_han/locality/f006/name,en-US,Yunyang,Later Han locality name; 雲陽縣; audited source cell F6,,approved,locality:later_han/f006,true
loc:later_han/locality/f007/name,en-US,Duiyu,Later Han locality name; 祋祤縣; audited source cell F7,,approved,locality:later_han/f007,true
loc:later_han/locality/f008/name,en-US,Pinyang,Later Han locality name; 頻陽縣; audited source cell F8,,approved,locality:later_han/f008,true
loc:later_han/locality/f009/name,en-US,Wannian,Later Han locality name; 萬年縣; audited source cell F9,,approved,locality:later_han/f009,true
loc:later_han/locality/f010/name,en-US,Lianshao,Later Han locality name; 蓮勺縣; audited source cell F10,,approved,locality:later_han/f010,true
loc:later_han/locality/f011/name,en-US,Zhongquan,Later Han locality name; 重泉縣; audited source cell F11,,approved,locality:later_han/f011,true
loc:later_han/locality/f012/name,en-US,Linjin,Later Han locality name; 臨晉縣; audited source cell F12,,approved,locality:later_han/f012,true
loc:later_han/locality/f013/name,en-US,Heyang,Later Han locality name; 郃陽縣; audited source cell F13,,approved,locality:later_han/f013,true
loc:later_han/locality/f014/name,en-US,Xiayang,Later Han locality name; 夏陽縣; audited source cell F14,,approved,locality:later_han/f014,true
loc:later_han/locality/f015/name,en-US,Ya,Later Han locality name; 衙縣; audited source cell F15,,approved,locality:later_han/f015,true
loc:later_han/locality/f016/name,en-US,Su,Later Han locality name; 粟邑; audited source cell F16,,approved,locality:later_han/f016,true
loc:later_han/locality/g004/name,en-US,Huaili,Later Han locality name; 槐里縣; audited source cell G4,,approved,locality:later_han/g004,true
loc:later_han/locality/g005/name,en-US,Anling,Later Han locality name; 安陵縣; audited source cell G5,,approved,locality:later_han/g005,true
loc:later_han/locality/g006/name,en-US,Pingling,Later Han locality name; 平陵縣; audited source cell G6,,approved,locality:later_han/g006,true
loc:later_han/locality/g007/name,en-US,Maoling,Later Han locality name; 茂陵縣; audited source cell G7,,approved,locality:later_han/g007,true
loc:later_han/locality/g008/name,en-US,Hu,Later Han locality name; 鄠縣; audited source cell G8,,approved,locality:later_han/g008,true
loc:later_han/locality/g009/name,en-US,Mei,Later Han locality name; 郿縣; audited source cell G9,,approved,locality:later_han/g009,true
loc:later_han/locality/g010/name,en-US,Wugong,Later Han locality name; 武功縣; audited source cell G10,,approved,locality:later_han/g010,true
loc:later_han/locality/g011/name,en-US,Chencang,Later Han locality name; 陳倉縣; audited source cell G11,,approved,locality:later_han/g011,true
loc:later_han/locality/g012/name,en-US,Qian,Later Han locality name; 汧縣; audited source cell G12,,approved,locality:later_han/g012,true
loc:later_han/locality/g013/name,en-US,Yumi,Later Han locality name; 渝麋侯國; audited source cell G13,,approved,locality:later_han/g013,true
loc:later_han/locality/g014/name,en-US,Yong,Later Han locality name; 雍縣; audited source cell G14,,approved,locality:later_han/g014,true
loc:later_han/locality/g015/name,en-US,Xun,Later Han locality name; 栒邑; audited source cell G15,,approved,locality:later_han/g015,true
loc:later_han/locality/g016/name,en-US,Meiyang,Later Han locality name; 美陽縣; audited source cell G16,,approved,locality:later_han/g016,true
loc:later_han/locality/g017/name,en-US,Qi,Later Han locality name; 漆縣; audited source cell G17,,approved,locality:later_han/g017,true
loc:later_han/locality/g018/name,en-US,Duyang,Later Han locality name; 杜陽縣; audited source cell G18,,approved,locality:later_han/g018,true
loc:later_han/locality/h004/name,en-US,Yangdi,Later Han locality name; 陽翟縣; audited source cell H4,,approved,locality:later_han/h004,true
